id,user_id,user_name,user_date,source_id,source_name,source_date,source_kind,relationship,strength,evidence_level,record_scope,notes
SU015,D006,Uwe Henrik Peters,c. 1970s–1990s,D003,Wilhelm Waiblinger,1820s–1830s,earlier_interpretation,uses,explicit,source_summary,author_or_source_level,Waiblinger is explicitly listed among Peters's sources.
SU016,D006,Uwe Henrik Peters,c. 1970s–1990s,,Published editions of letters and poems,,primary_sources_published,uses,explicit,source_summary,author_or_source_level,Individual editions and works are not specified in the diagnostic summary.
SU017,D006,Uwe Henrik Peters,c. 1970s–1990s,,Twentieth-century psychiatric literature,,secondary_psychiatric_literature,uses,explicit,source_summary,author_or_source_level,The summary identifies the category but not individual works.
SU018,D007,Pierre Bertaux,1978; 1993,S012,Sinclair correspondence,1806,primary_document,uses,explicit,source_summary,author_or_source_level,Sinclair documents are explicitly identified as part of Bertaux's archival research.
SU019,D007,Pierre Bertaux,1978; 1993,S010,Sinclair treason investigation court records,1805,primary_document,uses,explicit,source_summary,author_or_source_level,Legal records and political history are identified as principal evidence.
SU020,D007,Pierre Bertaux,1978; 1993,,Correspondence,,primary_sources,uses,explicit,source_summary,author_or_source_level,The summary does not identify every item of correspondence.
SU021,D008,Recent psychiatric literature,2000–2026,D003,Wilhelm Waiblinger,1820s–1830s,earlier_interpretation,often_uses,aggregate,aggregate,author_or_source_level,Waiblinger is identified among sources used by recent psychiatric literature.
SU022,D008,Recent psychiatric literature,2000–2026,S011,Müller medical Gutachten,1805,primary_document,often_uses,aggregate,aggregate,author_or_source_level,Müller's report is identified among sources used in recent psychiatric literature.
SU023,D008,Recent psychiatric literature,2000–2026,,Earlier psychiatric literature,,secondary_psychiatric_literature,often_uses,aggregate,aggregate,author_or_source_level,The document characterizes recent psychiatry as strongly reliant on earlier psychiatric literature.
SU024,D008,Recent psychiatric literature,2000–2026,,Published biographies,,secondary_sources,often_uses,aggregate,aggregate,author_or_source_level,Published biographies are identified as a source category.
SU025,D008,Recent psychiatric literature,2000–2026,,Selected letters,,primary_sources_published,often_uses,aggregate,aggregate,author_or_source_level,The diagnostic summary does not specify which letters.
SU026,B020,"Wilhelm Waiblinger — Friedrich Hoelderlin's Life, Poetry and Madness",1830,S018,"Zimmer years: personal visits, conversations, and observations",1807–1843,eyewitness_evidence,based_on,direct,direct,bibliographic_specific,Specific bibliographic-level representation of Waiblinger's memoir deriving from personal visits and observations during Hölderlin's tower years.
SU027,B001,Pierre Bertaux — Was Hölderlin Mentally III,1993,S010,Sinclair treason investigation court records,1805,primary_document,uses,explicit,source_summary,bibliographic_specific,Specific bibliographic-level representation of Bertaux's use of political/legal archival material as described in the research notes.
SU028,B001,Pierre Bertaux — Was Hölderlin Mentally III,1993,S012,Sinclair correspondence concerning institutionalization,1806,primary_document,uses,explicit,source_summary,bibliographic_specific,Specific bibliographic-level representation of Bertaux's use of Sinclair correspondence as described in the research notes.
SU029,B007,Ikkos & Stanghellini — Sensibility and schizophrenia,2022,B020,"Waiblinger — Friedrich Hoelderlin's Life, Poetry and Madness",1830,earlier_work,cites_and_interprets,explicit,explicit_citation,bibliographic_specific,Research notes state that the 2022 article discusses Waiblinger's 1830 account.
SU030,B006,Ikkos & Morgan — Psychiatric poetics,2026,B007,Ikkos & Stanghellini — Sensibility and schizophrenia,2022,earlier_work,cites_for_claim,explicit,explicit_citation,bibliographic_specific,Research notes state that Ikkos & Morgan cite Ikkos & Stanghellini (2022) for the schizophrenia framing.
SU031,B005,Stanghellini — Logics of Discovery II,2023,,Unspecified basis for 'probably schizophrenic' claim,,unresolved_source,claim_source_unresolved,unresolved,unresolved,bibliographic_specific,Research notes explicitly flag the schizophrenia claim as uncited; no upstream source is assigned.
SU032,B003,von Bassermann-Jordan — Hölderlin in the Hölderlin Tower,2025,,Earlier Hölderlin diagnostic literature,,secondary_literature,uses,needs_verification,unresolved,bibliographic_specific,"The research notes establish that the article discusses contemporary and modern diagnoses, but do not yet map individual citations."
SU033,B008,Horowski — The Madness of Friedrich Hölderlin,2017,,Historical medical evidence concerning treatment,,historical_medical_evidence,interprets,needs_verification,unresolved,bibliographic_specific,The notes summarize Horowski's calomel-intoxication interpretation; individual source citations still need article-level mapping.
